Record,Firstname,Surname,Contact Phone Number,Contact E-mail,Available From,Available To,Wamuran,Mareeba,Katherine,Darwin,Stanthorpe,Farm 5,I am eligible to work in Australia,I am happy to share my contact details with third party labour providers,Other
1,Jerald,Feller,6.39E+11,jeraldfeller@gmail.com,7/2/2018,7/31/2018,1,1,1,1,1,1,1,1,Test Other
2,Emily,Feller,+639213989396,jeraldfeller@gmail.com,2018-07-01,2018-07-31,1,0,0,0,0,0,0,0,
3,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
4,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
5,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
6,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
7,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
8,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
9,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
10,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
11,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
12,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
13,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
14,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
15,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
16,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
17,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
18,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-08-01,2018-09-30,1,0,0,0,1,1,1,0,TEST
19,John,Doe,+639213989396,jeraldfeller@gmail.com,2018-07-01,2018-07-31,1,1,1,1,1,1,1,1,test
20,Jerald,Feller,+639213989396,jeraldfeller@gmail.com,2018-07-01,2018-07-31,1,1,1,1,1,1,1,1,test
